id,category,label,notice,word_count,char_length,clean_notice
11,B,Intellectual Property Claim,"NOTICE OF PATENT INFRINGEMENT TO: Global Brands Inc. FROM: TradeMark Shield LLC DATE: December 2, 2024 TradeMark Shield LLC is the owner of U.S. Patent No. US 9,336,928, entitled 'Distributed Ledger Reconciliation Protocol', duly registered and in full force. It has come to TradeMark Shield LLC's attention that Global Brands Inc.'s product 'DataStream Analyzer' directly infringes one or more claims of this patent, specifically Claims 5-8. TradeMark Shield LLC demands that Global Brands Inc. immediately cease all manufacture, sale, and distribution of the infringing product and provide a written response within 10 days confirming compliance. Failure to do so will result in legal proceedings seeking injunctive relief and damages, including lost profits and reasonable royalties.",115,786,notice patent infringement global brand inc trademark shield llc date december trademark shield llc owner u patent u entitled distributed ledger reconciliation protocol duly registered full force come trademark shield llc attention global brand inc product datastream analyzer directly infringes one claim patent specifically claim trademark shield llc demand global brand inc immediately cease manufacture sale distribution infringing product provide written response within day confirming compliance failure result legal proceeding seeking injunctive relief damage including lost profit reasonable royalty
12,A,Contract Dispute,"NOTICE OF CONTRACT BREACH TO: Pinnacle Construction Ltd. FROM: TerraForm Engineering DATE: March 25, 2025 This notice is to formally advise that Pinnacle Construction Ltd. has materially breached the Service Agreement dated June 30, 2022 by failing to deliver the contracted software modules within the agreed timeline. As of this date, 30 days have elapsed beyond the delivery deadline stipulated in Section 9.3. TerraForm Engineering hereby demands full performance or written remediation plan within 21 calendar days. Failure to cure this breach will result in termination of the agreement and pursuit of all available legal remedies, including damages of no less than $25,000.",103,680,notice contract breach pinnacle construction ltd terraform engineering date march notice formally advise pinnacle construction ltd materially breached service agreement dated june failing deliver contracted software module within agreed timeline date day elapsed beyond delivery deadline stipulated section terraform engineering hereby demand full performance written remediation plan within calendar day failure cure breach result termination agreement pursuit available legal remedy including damage less
13,B,Intellectual Property Claim,"NOTICE OF PLAGIARISM AND COPYRIGHT VIOLATION TO: Digital Audio Networks FROM: SoundMark Entertainment DATE: March 3, 2024 SoundMark Entertainment is the author and copyright holder of the work 'Distributed Ledger Reconciliation Protocol', published in 2022. A detailed comparison confirms that Digital Audio Networks's publication 'SecureVault API', released on February 14, 2023, reproduces substantial portions of SoundMark Entertainment's work verbatim without attribution or license. This constitutes copyright infringement under 17 U.S.C. § 501. SoundMark Entertainment demands immediate withdrawal of the infringing publication, public attribution, and payment of licensing fees retroactively calculated at $75,000. A written response is required within 21 days or SoundMark Entertainment will pursue all legal remedies including statutory damages.",111,854,notice plagiarism copyright violation digital audio network soundmark entertainment date march soundmark entertainment author copyright holder work distributed ledger reconciliation protocol published detailed comparison confirms digital audio network publication securevault api released february reproduces substantial portion soundmark entertainment work verbatim without attribution license constitutes copyright infringement u c soundmark entertainment demand immediate withdrawal infringing publication public attribution payment licensing fee retroactively calculated written response required within day soundmark entertainment pursue legal remedy including statutory damage
14,B,Intellectual Property Claim,"NOTICE OF PATENT INFRINGEMENT TO: DevStack Innovations FROM: CodePatent Partners DATE: November 27, 2024 CodePatent Partners is the owner of U.S. Patent No. US 8,012,021, entitled 'Autonomous Content Classification Engine', duly registered and in full force. It has come to CodePatent Partners's attention that DevStack Innovations's product 'ProSuite Enterprise v4.0' directly infringes one or more claims of this patent, specifically Claims 1-5. CodePatent Partners demands that DevStack Innovations immediately cease all manufacture, sale, and distribution of the infringing product and provide a written response within 30 days confirming compliance. Failure to do so will result in legal proceedings seeking injunctive relief and damages, including lost profits and reasonable royalties.",109,792,notice patent infringement devstack innovation codepatent partner date november codepatent partner owner u patent u entitled autonomous content classification engine duly registered full force come codepatent partner attention devstack innovation product prosuite enterprise v directly infringes one claim patent specifically claim codepatent partner demand devstack innovation immediately cease manufacture sale distribution infringing product provide written response within day confirming compliance failure result legal proceeding seeking injunctive relief damage including lost profit reasonable royalty
15,B,Intellectual Property Claim,"TRADEMARK INFRINGEMENT AND PASSING-OFF NOTICE TO: ByteStream Technologies Inc. FROM: NovaTech Patents LLC DATE: May 22, 2024 NovaTech Patents LLC is the registered owner of the trademark 'CLOUDPEAK' (Registration No. REG-36062), covering goods and services in Class 16. ByteStream Technologies Inc. has been using a confusingly similar mark 'DataStream Analyzer' in commerce, likely to cause consumer confusion and dilute NovaTech Patents LLC's brand. This use constitutes trademark infringement under 15 U.S.C. § 1114 and passing-off under common law. NovaTech Patents LLC demands immediate discontinuation of all use of the infringing mark, withdrawal of all related marketing materials, and a written response within 14 days. Legal action will follow without further notice if these demands are not met.",117,806,trademark infringement passing notice bytestream technology inc novatech patent llc date may novatech patent llc registered owner trademark cloudpeak registration reg covering good service class bytestream technology inc using confusingly similar mark datastream analyzer commerce likely cause consumer confusion dilute novatech patent llc brand use constitutes trademark infringement u c passing common law novatech patent llc demand immediate discontinuation use infringing mark withdrawal related marketing material written response within day legal action follow without notice demand met
16,A,Contract Dispute,"DISPUTE NOTICE — EXCLUSIVITY VIOLATION TO: Radiant Broadcasting Corp. FROM: Luminary Media Group DATE: March 25, 2025 This notice is issued to Radiant Broadcasting Corp. regarding a breach of the exclusivity provisions in the Licensing Agreement dated January 15, 2022. Section 3.4 of that agreement grants Luminary Media Group the exclusive right to distribute Radiant Broadcasting Corp.'s products within the Asia-Pacific region. Luminary Media Group has evidence that Radiant Broadcasting Corp. has directly supplied products to Luminary Media Group's clients and appointed competing distributors in the exclusive territory. This constitutes a material breach. Luminary Media Group demands immediate cessation and compensation for lost revenues estimated at $15,000, with a response required within 30 business days.",115,819,dispute notice exclusivity violation radiant broadcasting corp luminary medium group date march notice issued radiant broadcasting corp regarding breach exclusivity provision licensing agreement dated january section agreement grant luminary medium group exclusive right distribute radiant broadcasting corp product within asia pacific region luminary medium group evidence radiant broadcasting corp directly supplied product luminary medium group client appointed competing distributor exclusive territory constitutes material breach luminary medium group demand immediate cessation compensation lost revenue estimated response required within business day
17,A,Contract Dispute,"DISPUTE NOTICE — EXCLUSIVITY VIOLATION TO: Horizon Enterprises Group FROM: Cascade Software Inc. DATE: December 2, 2024 This notice is issued to Horizon Enterprises Group regarding a breach of the exclusivity provisions in the Licensing Agreement dated June 30, 2022. Section 6.8 of that agreement grants Cascade Software Inc. the exclusive right to distribute Horizon Enterprises Group's products within the Latin America region. Cascade Software Inc. has evidence that Horizon Enterprises Group has directly supplied products to Cascade Software Inc.'s clients and appointed competing distributors in the exclusive territory. This constitutes a material breach. Cascade Software Inc. demands immediate cessation and compensation for lost revenues estimated at $350,000, with a response required within 14 business days.",116,821,dispute notice exclusivity violation horizon enterprise group cascade software inc date december notice issued horizon enterprise group regarding breach exclusivity provision licensing agreement dated june section agreement grant cascade software inc exclusive right distribute horizon enterprise group product within latin america region cascade software inc evidence horizon enterprise group directly supplied product cascade software inc client appointed competing distributor exclusive territory constitutes material breach cascade software inc demand immediate cessation compensation lost revenue estimated response required within business day
18,C,Regulatory Compliance,"ENVIRONMENTAL NON-COMPLIANCE NOTICE TO: Premier Food Processing Corp. FROM: Food Safety Regulatory Board DATE: May 22, 2024 An inspection of Premier Food Processing Corp.'s facility at 7 Industrial Estate Road, Chicago, IL 60601 on May 5, 2023 revealed violations of the Clean Air Act, 42 U.S.C. § 7401 et seq.. Specifically, emissions from Premier Food Processing Corp.'s operations were measured at 500% above the permitted threshold under License No. REG-36062. You are ordered to immediately reduce emissions to compliant levels, submit an environmental impact report within 7 days, and propose a binding remediation schedule. Continued non-compliance beyond the stated deadline will result in mandatory facility suspension and civil penalties of $100,000 per violation. This notice is issued without prejudice to further enforcement action.",123,845,environmental non compliance notice premier food processing corp food safety regulatory board date may inspection premier food processing corp facility industrial estate road chicago il may revealed violation clean air act u c et seq specifically emission premier food processing corp operation measured permitted threshold license reg ordered immediately reduce emission compliant level submit environmental impact report within day propose binding remediation schedule continued non compliance beyond stated deadline result mandatory facility suspension civil penalty per violation notice issued without prejudice enforcement action
19,C,Regulatory Compliance,"WORKPLACE SAFETY ENFORCEMENT NOTICE TO: Horizon Capital Partners FROM: Securities Enforcement Division DATE: April 7, 2025 An unannounced workplace inspection conducted on September 12, 2022 identified serious violations of the Electronic Communications Code 2017 at Horizon Capital Partners's premises. Hazards identified include inadequate machine guarding, absence of required safety signage, and failure to maintain mandatory incident logs. These violations present an imminent risk to worker safety. Horizon Capital Partners is directed to cease the affected operations immediately and submit a corrective action plan within 10 days. Penalties of up to $100,000 per violation will apply. A follow-up inspection will be conducted within 45 days to verify compliance.",107,770,workplace safety enforcement notice horizon capital partner security enforcement division date april unannounced workplace inspection conducted september identified serious violation electronic communication code horizon capital partner premise hazard identified include inadequate machine guarding absence required safety signage failure maintain mandatory incident log violation present imminent risk worker safety horizon capital partner directed cease affected operation immediately submit corrective action plan within day penalty per violation apply follow inspection conducted within day verify compliance
20,A,Contract Dispute,"BREACH OF CONFIDENTIALITY NOTICE TO: Harmon & Associates Ltd. FROM: SilverBridge Capital LLC DATE: October 14, 2024 This correspondence constitutes formal notice under Section 7.1 of the Mutual Non-Disclosure Agreement dated November 1, 2022. It has come to SilverBridge Capital LLC's attention that Harmon & Associates Ltd. has disclosed proprietary business information — including pricing structures, client lists, and product roadmaps — to unauthorized third parties. Such disclosure constitutes a material breach entitling SilverBridge Capital LLC to seek injunctive relief and damages exceeding $25,000. Harmon & Associates Ltd. must confirm in writing within 21 days all disclosures made, all recipients of such information, and steps taken to retrieve or contain the disclosed materials.",113,795,breach confidentiality notice harmon associate ltd silverbridge capital llc date october correspondence constitutes formal notice section mutual non disclosure agreement dated november come silverbridge capital llc attention harmon associate ltd disclosed proprietary business information including pricing structure client list product roadmaps unauthorized third party disclosure constitutes material breach entitling silverbridge capital llc seek injunctive relief damage exceeding harmon associate ltd must confirm writing within day disclosure made recipient information step taken retrieve contain disclosed material
21,B,Intellectual Property Claim,"NOTICE OF SOFTWARE LICENSE VIOLATION TO: Global Brands Inc. FROM: TradeMark Shield LLC DATE: June 10, 2024 TradeMark Shield LLC develops and owns the software 'ProSuite Enterprise v4.0', licensed under a commercial End User License Agreement (EULA). An audit has confirmed that Global Brands Inc. has deployed TradeMark Shield LLC's software on 10000 servers without valid licenses, constituting copyright infringement and a material breach of the EULA. Unlicensed use is estimated to have caused TradeMark Shield LLC revenue losses of $75,000. Global Brands Inc. is directed to immediately cease unlicensed use, purchase all required licenses, and remit retroactive license fees within 7 days. Non-compliance will result in legal proceedings and referral to the Software Alliance for enforcement.",117,797,notice software license violation global brand inc trademark shield llc date june trademark shield llc develops owns software prosuite enterprise v licensed commercial end user license agreement eula audit confirmed global brand inc deployed trademark shield llc software server without valid license constituting copyright infringement material breach eula unlicensed use estimated caused trademark shield llc revenue loss global brand inc directed immediately cease unlicensed use purchase required license remit retroactive license fee within day non compliance result legal proceeding referral software alliance enforcement
22,C,Regulatory Compliance,"NOTICE OF REGULATORY VIOLATION TO: Meridian Manufacturing Co. FROM: Health & Safety Enforcement Agency DATE: January 9, 2025 Following an inspection conducted on May 5, 2023, Health & Safety Enforcement Agency has determined that Meridian Manufacturing Co. is in violation of Section 12.5 of the Occupational Safety and Health Act (OSHA). Specifically, Meridian Manufacturing Co. has failed to maintain adequate records of customer transactions as mandated by applicable regulations. You are hereby directed to implement all required remediation measures within 30 calendar days of this notice. Failure to comply will result in the imposition of civil penalties of up to $500,000 per day of continued non-compliance. A written remediation plan must be submitted to this office by no later than the end of the current quarter.",126,825,notice regulatory violation meridian manufacturing co health safety enforcement agency date january following inspection conducted may health safety enforcement agency determined meridian manufacturing co violation section occupational safety health act osha specifically meridian manufacturing co failed maintain adequate record customer transaction mandated applicable regulation hereby directed implement required remediation measure within calendar day notice failure comply result imposition civil penalty per day continued non compliance written remediation plan must submitted office later end current quarter
23,C,Regulatory Compliance,"ENVIRONMENTAL NON-COMPLIANCE NOTICE TO: StreamLine Networks Ltd. FROM: Telecommunications Regulatory Office DATE: May 16, 2025 An inspection of StreamLine Networks Ltd.'s facility at 450 Commerce Drive, Houston, TX 77002 on September 12, 2022 revealed violations of the Financial Industry Regulatory Authority (FINRA) Rule 4370. Specifically, emissions from StreamLine Networks Ltd.'s operations were measured at 1200% above the permitted threshold under License No. REG-36062. You are ordered to immediately reduce emissions to compliant levels, submit an environmental impact report within 7 days, and propose a binding remediation schedule. Continued non-compliance beyond the stated deadline will result in mandatory facility suspension and civil penalties of $200,000 per violation. This notice is issued without prejudice to further enforcement action.",116,858,environmental non compliance notice streamline network ltd telecommunication regulatory office date may inspection streamline network ltd facility commerce drive houston tx september revealed violation financial industry regulatory authority finra rule specifically emission streamline network ltd operation measured permitted threshold license reg ordered immediately reduce emission compliant level submit environmental impact report within day propose binding remediation schedule continued non compliance beyond stated deadline result mandatory facility suspension civil penalty per violation notice issued without prejudice enforcement action
24,C,Regulatory Compliance,"ANTI-MONEY LAUNDERING COMPLIANCE DIRECTIVE TO: National Staffing Group FROM: Workplace Standards Authority DATE: February 18, 2025 Pursuant to the Occupational Safety and Health Act (OSHA), Workplace Standards Authority has identified significant deficiencies in National Staffing Group's anti-money laundering (AML) controls. An audit conducted on September 12, 2022 found that National Staffing Group failed to conduct adequate customer due diligence on 300 high-risk accounts and did not file required Suspicious Activity Reports (SARs). These deficiencies constitute serious regulatory violations. National Staffing Group must implement enhanced AML procedures and submit a remediation plan within 21 days. Failure to remediate will result in regulatory sanctions, including fines of up to $15,000 and potential license revocation.",112,835,anti money laundering compliance directive national staffing group workplace standard authority date february pursuant occupational safety health act osha workplace standard authority identified significant deficiency national staffing group anti money laundering aml control audit conducted september found national staffing group failed conduct adequate customer due diligence high risk account file required suspicious activity report sars deficiency constitute serious regulatory violation national staffing group must implement enhanced aml procedure submit remediation plan within day failure remediate result regulatory sanction including fine potential license revocation
25,A,Contract Dispute,"NOTICE OF NON-COMPETE VIOLATION TO: Arbor Investment Holdings FROM: Keystone Financial Services DATE: March 25, 2025 Pursuant to Section 3.4 of the Employment and Consulting Agreement dated February 14, 2023, this notice serves to advise Arbor Investment Holdings of a clear violation of the non-compete and non-solicitation provisions. Arbor Investment Holdings has engaged in directly competitive business activities and solicited Keystone Financial Services's clients within the restricted period and geography. Keystone Financial Services demands immediate cessation of all such activities. Continued violations will result in an application for injunctive relief and a claim for liquidated damages as specified in the agreement, estimated at $350,000.",104,756,notice non compete violation arbor investment holding keystone financial service date march pursuant section employment consulting agreement dated february notice serf advise arbor investment holding clear violation non compete non solicitation provision arbor investment holding engaged directly competitive business activity solicited keystone financial service client within restricted period geography keystone financial service demand immediate cessation activity continued violation result application injunctive relief claim liquidated damage specified agreement estimated
26,A,Contract Dispute,"NOTICE OF FORCE MAJEURE DISPUTE TO: Sunstone Development LLC FROM: Greenfield Realty Partners DATE: July 8, 2024 Greenfield Realty Partners writes to formally contest Sunstone Development LLC's invocation of the force majeure clause under Section 7.1 of the Supply Agreement dated August 20, 2023. The circumstances cited by Sunstone Development LLC do not meet the contractual threshold for force majeure relief, as supply chain disruptions of this nature were foreseeable and should have been mitigated. Accordingly, Greenfield Realty Partners holds Sunstone Development LLC liable for delivery failures resulting in losses of $350,000. A written response is required within 21 business days, or this matter will be escalated to arbitration.",109,743,notice force majeure dispute sunstone development llc greenfield realty partner date july greenfield realty partner writes formally contest sunstone development llc invocation force majeure clause section supply agreement dated august circumstance cited sunstone development llc meet contractual threshold force majeure relief supply chain disruption nature foreseeable mitigated accordingly greenfield realty partner hold sunstone development llc liable delivery failure resulting loss written response required within business day matter escalated arbitration
27,A,Contract Dispute,"DISPUTE NOTICE — EXCLUSIVITY VIOLATION TO: Coastal Logistics Partners FROM: Meridian Freight Services DATE: June 10, 2024 This notice is issued to Coastal Logistics Partners regarding a breach of the exclusivity provisions in the Licensing Agreement dated September 12, 2022. Section 9.3 of that agreement grants Meridian Freight Services the exclusive right to distribute Coastal Logistics Partners's products within the the United Kingdom region. Meridian Freight Services has evidence that Coastal Logistics Partners has directly supplied products to Meridian Freight Services's clients and appointed competing distributors in the exclusive territory. This constitutes a material breach. Meridian Freight Services demands immediate cessation and compensation for lost revenues estimated at $15,000, with a response required within 21 business days.",117,851,dispute notice exclusivity violation coastal logistics partner meridian freight service date june notice issued coastal logistics partner regarding breach exclusivity provision licensing agreement dated september section agreement grant meridian freight service exclusive right distribute coastal logistics partner product within united kingdom region meridian freight service evidence coastal logistics partner directly supplied product meridian freight service client appointed competing distributor exclusive territory constitutes material breach meridian freight service demand immediate cessation compensation lost revenue estimated response required within business day
28,C,Regulatory Compliance,"FINANCIAL REPORTING NON-COMPLIANCE NOTICE TO: FastBuy E-Commerce Ltd. FROM: Consumer Protection Bureau DATE: May 16, 2025 Consumer Protection Bureau has determined that FastBuy E-Commerce Ltd. has failed to file its quarterly financial disclosure reports as required under Section 12.5 of the California Consumer Privacy Act (CCPA). Reports for the periods ending Q1 2023 remain outstanding as of this date. This constitutes a violation of mandatory reporting obligations. FastBuy E-Commerce Ltd. is directed to file all outstanding reports within 30 business days. A late filing fee of $50,000 per report will be assessed. Continued non-compliance will result in suspension of FastBuy E-Commerce Ltd.'s operating license and referral for criminal investigation under applicable statutes.",112,788,financial reporting non compliance notice fastbuy e commerce ltd consumer protection bureau date may consumer protection bureau determined fastbuy e commerce ltd failed file quarterly financial disclosure report required section california consumer privacy act ccpa report period ending q remain outstanding date constitutes violation mandatory reporting obligation fastbuy e commerce ltd directed file outstanding report within business day late filing fee per report assessed continued non compliance result suspension fastbuy e commerce ltd operating license referral criminal investigation applicable statute
